?,alfa-romero,gas,std,two,convertible,front,88.6,168.8,64.1,48.8,2548,four,130,mpfi,9,111,5000,21,27,13495
?,alfa-romero,gas,std,two,convertible,front,88.6,168.8,64.1,48.8,2548,four,130,mpfi,9,111,5000,21,27,16500
?,alfa-romero,gas,std,two,hatchback,front,94.5,171.2,65.5,52.4,2823,six,152,mpfi,9,154,5000,19,26,16500
164,audi,gas,std,four,sedan,front,99.8,176.6,66.2,54.3,2337,four,109,mpfi,10,102,5500,24,30,13950
164,audi,gas,std,four,sedan,front,99.4,176.6,66.4,54.3,2824,five,136,mpfi,8,115,5500,18,22,17450
?,audi,gas,std,two,sedan,front,99.8,177.3,66.3,53.1,2507,five,136,mpfi,8.5,110,5500,19,25,15250
158,audi,gas,std,four,sedan,front,105.8,192.7,71.4,55.7,2844,five,136,mpfi,8.5,110,5500,19,25,17710
?,audi,gas,std,four,wagon,front,105.8,192.7,71.4,55.7,2954,five,136,mpfi,8.5,110,5500,19,25,18920
158,audi,gas,turbo,four,sedan,front,105.8,192.7,71.4,55.9,3086,five,131,mpfi,8.3,140,5500,17,20,23875
?,audi,gas,turbo,two,hatchback,front,99.5,178.2,67.9,52,3053,five,131,mpfi,7,160,5500,16,22,?
192,bmw,gas,std,two,sedan,front,101.2,176.8,64.8,54.3,2395,four,108,mpfi,8.8,101,5800,23,29,16430
192,bmw,gas,std,four,sedan,front,101.2,176.8,64.8,54.3,2395,four,108,mpfi,8.8,101,5800,23,29,16925
188,bmw,gas,std,two,sedan,front,101.2,176.8,64.8,54.3,2710,six,164,mpfi,9,121,4250,21,28,20970
188,bmw,gas,std,four,sedan,front,101.2,176.8,64.8,54.3,2765,six,164,mpfi,9,121,4250,21,28,21105
?,bmw,gas,std,four,sedan,front,103.5,189,66.9,55.7,3055,six,164,mpfi,9,121,4250,20,25,24565
?,bmw,gas,std,four,sedan,front,103.5,189,66.9,55.7,3230,six,209,mpfi,8,182,5400,16,22,30760
?,bmw,gas,std,two,sedan,front,103.5,193.8,67.9,53.7,3380,six,209,mpfi,8,182,5400,16,22,41315
?,bmw,gas,std,four,sedan,front,110,197,70.9,56.3,3505,six,209,mpfi,8,182,5400,15,20,36880
121,chevrolet,gas,std,two,hatchback,front,88.4,141.1,60.3,53.2,1488,three,61,2bbl,9.5,48,5100,47,53,5151
98,chevrolet,gas,std,two,hatchback,front,94.5,155.9,63.6,52,1874,four,90,2bbl,9.6,70,5400,38,43,6295
81,chevrolet,gas,std,four,sedan,front,94.5,158.8,63.6,52,1909,four,90,2bbl,9.6,70,5400,38,43,6575
118,dodge,gas,std,two,hatchback,front,93.7,157.3,63.8,50.8,1876,four,90,2bbl,9.41,68,5500,37,41,5572
118,dodge,gas,std,two,hatchback,front,93.7,157.3,63.8,50.8,1876,four,90,2bbl,9.4,68,5500,31,38,6377
118,dodge,gas,turbo,two,hatchback,front,93.7,157.3,63.8,50.8,2128,four,98,mpfi,7.6,102,5500,24,30,7957
148,dodge,gas,std,four,hatchback,front,93.7,157.3,63.8,50.6,1967,four,90,2bbl,9.4,68,5500,31,38,6229
148,dodge,gas,std,four,sedan,front,93.7,157.3,63.8,50.6,1989,four,90,2bbl,9.4,68,5500,31,38,6692
148,dodge,gas,std,four,sedan,front,93.7,157.3,63.8,50.6,1989,four,90,2bbl,9.4,68,5500,31,38,7609
148,dodge,gas,turbo,?,sedan,front,93.7,157.3,63.8,50.6,2191,four,98,mpfi,7.6,102,5500,24,30,8558
110,dodge,gas,std,four,wagon,front,103.3,174.6,64.6,59.8,2535,four,122,2bbl,8.5,88,5000,24,30,8921
145,dodge,gas,turbo,two,hatchback,front,95.9,173.2,66.3,50.2,2811,four,156,mfi,7,145,5000,19,24,12964
137,honda,gas,std,two,hatchback,front,86.6,144.6,63.9,50.8,1713,four,92,1bbl,9.6,58,4800,49,54,6479
137,honda,gas,std,two,hatchback,front,86.6,144.6,63.9,50.8,1819,four,92,1bbl,9.2,76,6000,31,38,6855
101,honda,gas,std,two,hatchback,front,93.7,150,64,52.6,1837,four,79,1bbl,10.1,60,5500,38,42,5399
101,honda,gas,std,two,hatchback,front,93.7,150,64,52.6,1940,four,92,1bbl,9.2,76,6000,30,34,6529
101,honda,gas,std,two,hatchback,front,93.7,150,64,52.6,1956,four,92,1bbl,9.2,76,6000,30,34,7129
110,honda,gas,std,four,sedan,front,96.5,163.4,64,54.5,2010,four,92,1bbl,9.2,76,6000,30,34,7295
